Pattern,Purchaser_PGVCL,Purchaser_UGVCL,DSMGEN_PGVCL,DSMGEN_UGVCL
"M4,D17,H17",948,1287.5,1652,812.5
"M4,D17,H18",948,1237.5,1652,862.5
"M4,D17,H19",777,1237.5,1823,862.5
"M4,D17,H20",750,1277.5,1850,822.5
"M4,D17,H21",1197.5,1292.5,1402.5,807.5
"M4,D17,H22",1250,1350,1350,750
"M4,D17,H23",1502,1535,1098,565
"M4,D17,H24",1502,1672.5,1098,427.5
"M4,D18,H1",2160,1967.5,440,132.5
"M4,D18,H2",2513,1967.5,87,132.5
"M4,D18,H3",2384,1967.5,216,132.5
"M4,D18,H4",2384,1927.5,216,172.5
"M4,D18,H5",2117,1727.5,483,372.5
"M4,D18,H6",2237.5,1772.5,362.5,327.5
"M4,D18,H7",2033,1820,567,280
"M4,D18,H8",2033,1715,567,385
"M4,D18,H9",1692.5,1890,907.5,210
"M4,D18,H10",1339.5,1425,1260.5,675
"M4,D18,H11",1510.5,1425,1089.5,675
"M4,D18,H12",1666.5,1425,933.5,675
"M4,D18,H13",1486,1610,1114,490
"M4,D18,H14",1313,1507.5,1287,592.5
"M4,D18,H15",1265.5,1275,1334.5,825
"M4,D18,H16",1265.5,1242.5,1334.5,857.5
"M4,D18,H17",948,1287.5,1652,812.5
"M4,D18,H18",948,1237.5,1652,862.5
"M4,D18,H19",777,1237.5,1823,862.5
"M4,D18,H20",750,1277.5,1850,822.5
"M4,D18,H21",1197.5,1292.5,1402.5,807.5
"M4,D18,H22",1250,1350,1350,750
"M4,D18,H23",1502,1535,1098,565
"M4,D18,H24",1502,1672.5,1098,427.5
"M4,D19,H1",2160,1967.5,440,132.5
"M4,D19,H2",2513,1967.5,87,132.5
"M4,D19,H3",2384,1967.5,216,132.5
"M4,D19,H4",2384,1927.5,216,172.5
"M4,D19,H5",2117,1727.5,483,372.5
"M4,D19,H6",2237.5,1772.5,362.5,327.5
"M4,D19,H7",2033,1820,567,280
"M4,D19,H8",2033,1715,567,385
"M4,D19,H9",1692.5,1890,907.5,210
"M4,D19,H10",1339.5,1425,1260.5,675
"M4,D19,H11",1510.5,1425,1089.5,675
"M4,D19,H12",1666.5,1425,933.5,675
"M4,D19,H13",1486,1610,1114,490
"M4,D19,H14",1313,1507.5,1287,592.5
"M4,D19,H15",1265.5,1275,1334.5,825
"M4,D19,H16",1265.5,1242.5,1334.5,857.5
"M4,D19,H17",948,1287.5,1652,812.5
"M4,D19,H18",948,1237.5,1652,862.5
"M4,D19,H19",777,1237.5,1823,862.5
"M4,D19,H20",750,1277.5,1850,822.5
"M4,D19,H21",1197.5,1292.5,1402.5,807.5
"M4,D19,H22",1250,1350,1350,750
"M4,D19,H23",1502,1535,1098,565
"M4,D19,H24",1502,1672.5,1098,427.5
"M4,D20,H1",2160,1967.5,440,132.5
"M4,D20,H2",2513,1967.5,87,132.5
"M4,D20,H3",2384,1967.5,216,132.5
"M4,D20,H4",2384,1927.5,216,172.5
"M4,D20,H5",2117,1727.5,483,372.5
"M4,D20,H6",2237.5,1772.5,362.5,327.5
"M4,D20,H7",2033,1820,567,280
"M4,D20,H8",2033,1715,567,385
"M4,D20,H9",1692.5,1890,907.5,210
"M4,D20,H10",1339.5,1425,1260.5,675
"M4,D20,H11",1510.5,1425,1089.5,675
"M4,D20,H12",1666.5,1425,933.5,675
"M4,D20,H13",1486,1610,1114,490
"M4,D20,H14",1313,1507.5,1287,592.5
"M4,D20,H15",1265.5,1275,1334.5,825
"M4,D20,H16",1265.5,1242.5,1334.5,857.5
"M4,D20,H17",948,1287.5,1652,812.5
"M4,D20,H18",948,1237.5,1652,862.5
"M4,D20,H19",777,1237.5,1823,862.5
"M4,D20,H20",750,1277.5,1850,822.5
"M4,D20,H21",1197.5,1292.5,1402.5,807.5
"M4,D20,H22",1250,1350,1350,750
"M4,D20,H23",1502,1535,1098,565
"M4,D20,H24",1502,1672.5,1098,427.5
"M4,D21,H1",2160,1967.5,440,132.5
"M4,D21,H2",2513,1967.5,87,132.5
"M4,D21,H3",2384,1967.5,216,132.5
"M4,D21,H4",2384,1927.5,216,172.5
"M4,D21,H5",2117,1727.5,483,372.5
"M4,D21,H6",2237.5,1772.5,362.5,327.5
"M4,D21,H7",2033,1820,567,280
"M4,D21,H8",2033,1715,567,385
"M4,D21,H9",1692.5,1890,907.5,210
"M4,D21,H10",1339.5,1425,1260.5,675
"M4,D21,H11",1510.5,1425,1089.5,675
"M4,D21,H12",1666.5,1425,933.5,675
"M4,D21,H13",1486,1610,1114,490
"M4,D21,H14",1313,1507.5,1287,592.5
"M4,D21,H15",1265.5,1275,1334.5,825
"M4,D21,H16",1265.5,1242.5,1334.5,857.5
"M4,D21,H17",948,1287.5,1652,812.5
"M4,D21,H18",948,1237.5,1652,862.5
"M4,D21,H19",777,1237.5,1823,862.5
"M4,D21,H20",750,1277.5,1850,822.5
"M4,D21,H21",1197.5,1292.5,1402.5,807.5
"M4,D21,H22",1250,1350,1350,750
"M4,D21,H23",1502,1535,1098,565
"M4,D21,H24",1502,1672.5,1098,427.5
"M4,D22,H1",2160,1967.5,440,132.5
"M4,D22,H2",2513,1967.5,87,132.5
"M4,D22,H3",2384,1967.5,216,132.5
"M4,D22,H4",2384,1927.5,216,172.5
"M4,D22,H5",2117,1727.5,483,372.5
"M4,D22,H6",2237.5,1772.5,362.5,327.5
"M4,D22,H7",2033,1820,567,280
"M4,D22,H8",2033,1715,567,385
"M4,D22,H9",1692.5,1890,907.5,210
"M4,D22,H10",1339.5,1425,1260.5,675
"M4,D22,H11",1510.5,1425,1089.5,675
"M4,D22,H12",1666.5,1425,933.5,675
"M4,D22,H13",1486,1610,1114,490
"M4,D22,H14",1313,1507.5,1287,592.5
