Pattern,Purchaser_PGVCL,Purchaser_UGVCL,DSMGEN_PGVCL,DSMGEN_UGVCL
"M1, D8",33.6,38.135,28.8,12.265
"M1, D9",33.6,38.135,28.8,12.265
"M2, D1",34.76875,37.99,27.63125,12.410000000000002
"M2, D10",34.76875,37.99,27.63125,12.410000000000002
"M2, D11",34.76875,37.99,27.63125,12.410000000000002
"M2, D12",34.76875,37.99,27.63125,12.410000000000002
"M2, D13",34.76875,37.99,27.63125,12.410000000000002
"M2, D14",34.76875,37.99,27.63125,12.410000000000002
"M2, D15",34.76875,37.99,27.63125,12.410000000000002
"M2, D16",34.76875,37.99,27.63125,12.410000000000002
"M2, D17",34.76875,37.99,27.63125,12.410000000000002
"M2, D18",34.76875,37.99,27.63125,12.410000000000002
"M2, D19",34.76875,37.99,27.63125,12.410000000000002
"M2, D2",34.76875,37.99,27.63125,12.410000000000002
"M2, D20",34.76875,37.99,27.63125,12.410000000000002
"M2, D21",34.76875,37.99,27.63125,12.410000000000002
"M2, D22",34.76875,37.99,27.63125,12.410000000000002
"M2, D23",34.76875,37.99,27.63125,12.410000000000002
"M2, D24",34.76875,37.99,27.63125,12.410000000000002
"M2, D25",34.76875,37.99,27.63125,12.410000000000002
"M2, D26",34.76875,37.99,27.63125,12.410000000000002
"M2, D27",34.76875,37.99,27.63125,12.410000000000002
"M2, D28",34.76875,37.99,27.63125,12.410000000000002
"M2, D3",34.76875,37.99,27.63125,12.410000000000002
"M2, D4",34.76875,37.99,27.63125,12.410000000000002
"M2, D5",34.76875,37.99,27.63125,12.410000000000002
"M2, D6",34.76875,37.99,27.63125,12.410000000000002
"M2, D7",34.76875,37.99,27.63125,12.410000000000002
"M2, D8",34.76875,37.99,27.63125,12.410000000000002
"M2, D9",34.76875,37.99,27.63125,12.410000000000002
"M3, D1",37.10625,37.7,25.29375,12.7
"M3, D10",37.10625,37.7,25.29375,12.7
"M3, D11",37.10625,37.7,25.29375,12.7
"M3, D12",37.10625,37.7,25.29375,12.7
"M3, D13",37.10625,37.7,25.29375,12.7
"M3, D14",37.10625,37.7,25.29375,12.7
"M3, D15",37.10625,37.7,25.29375,12.7
"M3, D16",37.10625,37.7,25.29375,12.7
"M3, D17",37.10625,37.7,25.29375,12.7
"M3, D18",37.10625,37.7,25.29375,12.7
"M3, D19",37.10625,37.7,25.29375,12.7
"M3, D2",37.10625,37.7,25.29375,12.7
"M3, D20",37.10625,37.7,25.29375,12.7
"M3, D21",37.10625,37.7,25.29375,12.7
"M3, D22",37.10625,37.7,25.29375,12.7
"M3, D23",37.10625,37.7,25.29375,12.7
"M3, D24",37.10625,37.7,25.29375,12.7
"M3, D25",37.10625,37.7,25.29375,12.7
"M3, D26",37.10625,37.7,25.29375,12.7
"M3, D27",37.10625,37.7,25.29375,12.7
"M3, D28",37.10625,37.7,25.29375,12.7
"M3, D29",37.10625,37.7,25.29375,12.7
"M3, D3",37.10625,37.7,25.29375,12.7
"M3, D30",37.10625,37.7,25.29375,12.7
"M3, D31",37.10625,37.7,25.29375,12.7
"M3, D4",37.10625,37.7,25.29375,12.7
"M3, D5",37.10625,37.7,25.29375,12.7
"M3, D6",37.10625,37.7,25.29375,12.7
"M3, D7",37.10625,37.7,25.29375,12.7
"M3, D8",37.10625,37.7,25.29375,12.7
"M3, D9",37.10625,37.7,25.29375,12.7
