Pattern,Solar_PV_Pump,Solar_PV_Buildings_DGVCL,Solar_PV_Buildings_Kachchh,Solar_PV_Buildings_MGVCL,Solar_PV_Pumps_PGVCL,Solar_PV_Buildings_UGVCL,Solar_PV_Utility_DGVCL,Solar_PV_Utility_Kachchh,Solar_PV_Utility_MGVCL,Solar_PV_Utility_PGVCL,Solar_PV_Utility_UGVCL,Wind_Offshore_Ahmedabad,Wind_Offshore_DGVCL,Wind_Offshore_Kachchh,Wind_Offshore_MGVCL,Wind_Offshore_PGVCL,Wind_Offshore_Surat,Wind_Offshore_UGVCL,Wind_Onshore_Ahmedabad,Wind_Onshore_DGVCL,Wind_Onshore_Kachchh,Wind_Onshore_MGVCL,Wind_Onshore_PGVCL,Wind_Onshore_Surat,Wind_Onshore_UGVCL
"M4,D30,H15",0.612100198,61.21001981,61.21001981,61.21001981,61.21001981,61.21001981,61.21001981,61.21001981,61.21001981,61.21001981,61.21001981,15.83582878,15.83582878,15.83582878,15.83582878,15.83582878,15.83582878,15.83582878,15.83582878,15.83582878,15.83582878,15.83582878,15.83582878,15.83582878,15.83582878
"M4,D30,H16",0.506002339,50.60023385,50.60023385,50.60023385,50.60023385,50.60023385,50.60023385,50.60023385,50.60023385,50.60023385,50.60023385,19.86084199,19.86084199,19.86084199,19.86084199,19.86084199,19.86084199,19.86084199,19.86084199,19.86084199,19.86084199,19.86084199,19.86084199,19.86084199,19.86084199
"M4,D30,H17",0.40708149,40.70814895,40.70814895,40.70814895,40.70814895,40.70814895,40.70814895,40.70814895,40.70814895,40.70814895,40.70814895,22.91703364,22.91703364,22.91703364,22.91703364,22.91703364,22.91703364,22.91703364,22.91703364,22.91703364,22.91703364,22.91703364,22.91703364,22.91703364,22.91703364
"M4,D30,H18",0.266846555,26.68465552,26.68465552,26.68465552,26.68465552,26.68465552,26.68465552,26.68465552,26.68465552,26.68465552,26.68465552,24.96036639,24.96036639,24.96036639,24.96036639,24.96036639,24.96036639,24.96036639,24.96036639,24.96036639,24.96036639,24.96036639,24.96036639,24.96036639,24.96036639
"M4,D30,H19",0.082430293,8.24302932,8.24302932,8.24302932,8.24302932,8.24302932,8.24302932,8.24302932,8.24302932,8.24302932,8.24302932,26.31671658,26.31671658,26.31671658,26.31671658,26.31671658,26.31671658,26.31671658,26.31671658,26.31671658,26.31671658,26.31671658,26.31671658,26.31671658,26.31671658
"M4,D30,H20",0,0,0,0,0,0,0,0,0,0,0,26.26387176,26.26387176,26.26387176,26.26387176,26.26387176,26.26387176,26.26387176,26.26387176,26.26387176,26.26387176,26.26387176,26.26387176,26.26387176,26.26387176
"M4,D30,H21",0,0,0,0,0,0,0,0,0,0,0,24.99559627,24.99559627,24.99559627,24.99559627,24.99559627,24.99559627,24.99559627,24.99559627,24.99559627,24.99559627,24.99559627,24.99559627,24.99559627,24.99559627
"M4,D30,H22",0,0,0,0,0,0,0,0,0,0,0,23.85062533,23.85062533,23.85062533,23.85062533,23.85062533,23.85062533,23.85062533,23.85062533,23.85062533,23.85062533,23.85062533,23.85062533,23.85062533,23.85062533
"M4,D30,H23",0,0,0,0,0,0,0,0,0,0,0,22.51189008,22.51189008,22.51189008,22.51189008,22.51189008,22.51189008,22.51189008,22.51189008,22.51189008,22.51189008,22.51189008,22.51189008,22.51189008,22.51189008
"M4,D30,H24",0,0,0,0,0,0,0,0,0,0,0,20.67993659,20.67993659,20.67993659,20.67993659,20.67993659,20.67993659,20.67993659,20.67993659,20.67993659,20.67993659,20.67993659,20.67993659,20.67993659,20.67993659
